ts,pool,name,tier,price,vol_1h,baseline,multiple,buyer_base,buyer_mult,turnover,chg_1h,liquidity,mcap,buyers,sellers,age_days,fired
2026-08-18T20:00:01+00:00,9R27f7ibnqi9jfk5LdWHRhX7faJBPPZyr5Va35RYWwoo,LAYOOO / SOL,A,0.0017988371707660946,54009.157636881,7333.34070622648,7.4,,,1.0769,3.4,157382.3249,1818070.274,133,137,8.9,0
2026-08-18T20:35:26+00:00,9R27f7ibnqi9jfk5LdWHRhX7faJBPPZyr5Va35RYWwoo,LAYOOO / SOL,A,0.0021204933591053975,84704.2891768237,7333.34070622648,11.6,,,0.9368,29.752,164798.6982,2082018.08,168,220,8.9,0
2026-08-18T20:35:26+00:00,13MEx6gjRadJNUdmToaGSzgeWHLH7FzScUQS9Mc5nYF5,MU / USDC,A,939.870073363818,89378.4580484901,19437.320365413918,4.6,,,0.4513,0.201,3997352.3705,6129735.92464556,8,19,57.3,0
2026-08-18T21:02:28+00:00,9R27f7ibnqi9jfk5LdWHRhX7faJBPPZyr5Va35RYWwoo,LAYOOO / SOL,A,0.0017617329426455144,86698.5666543549,7333.34070622648,11.8,,,1.0866,-1.305,153294.7205,1761694.31,217,238,8.9,0
2026-08-18T21:40:58+00:00,9R27f7ibnqi9jfk5LdWHRhX7faJBPPZyr5Va35RYWwoo,LAYOOO / SOL,A,0.0018711777050747058,32163.5107222174,7333.34070622648,4.4,,,0.9726,0.738,155098.0214,1849880.047,127,147,9.0,0
2026-08-18T22:00:34+00:00,9R27f7ibnqi9jfk5LdWHRhX7faJBPPZyr5Va35RYWwoo,LAYOOO / SOL,A,0.0017347486977156948,26318.4959791144,7333.34070622648,3.6,144.5,,0.9914,-3.737,150219.3595,1734748.698,85,103,9.0,0
2026-08-18T22:43:28+00:00,9R27f7ibnqi9jfk5LdWHRhX7faJBPPZyr5Va35RYWwoo,LAYOOO / SOL,A,0.0014872218671116311,89026.9975120887,7333.34070622648,12.1,141,,1.1357,-19.091,141239.5286,1487286.242,269,135,9.0,0
2026-08-18T23:05:24+00:00,9R27f7ibnqi9jfk5LdWHRhX7faJBPPZyr5Va35RYWwoo,LAYOOO / SOL,A,0.001478845011659878,105121.387855769,7333.34070622648,14.3,144.5,,1.1686,-14.745,137859.3016,1458638.826,303,177,9.0,0
2026-08-18T23:39:44+00:00,9R27f7ibnqi9jfk5LdWHRhX7faJBPPZyr5Va35RYWwoo,LAYOOO / SOL,A,0.0014075552082904149,55852.4843849785,7333.34070622648,7.6,148,,1.1774,-5.49,135345.3201,1422493.292,163,178,9.1,0
2026-08-19T00:00:06+00:00,13MEx6gjRadJNUdmToaGSzgeWHLH7FzScUQS9Mc5nYF5,MU / USDC,A,932.5335001885647,67503.7149083794,19437.320365413918,3.5,,,0.4586,-0.185,3976076.0837,6081887.54918355,4,14,57.4,0
2026-08-19T00:00:06+00:00,2sLVno3U42bPYSsRwGWKUyt1JqzqReVRaUQaZ9ZjsdBh,HOOD / SOL,A,0.00014847774777190974,15302102.6893744,2316914.1625790303,6.6,,,7.0763,51.836,492297.1563,14934711.73,3001,55,0.3,0
2026-08-19T00:00:06+00:00,9R27f7ibnqi9jfk5LdWHRhX7faJBPPZyr5Va35RYWwoo,LAYOOO / SOL,A,0.0014841344625218767,41218.3171365921,7333.34070622648,5.6,150.0,,1.1145,1.155,139513.8785,1484134.463,139,155,9.1,0
2026-08-19T01:54:41+00:00,13MEx6gjRadJNUdmToaGSzgeWHLH7FzScUQS9Mc5nYF5,MU / USDC,A,937.7913103085997,124265.557045479,19437.320365413918,6.4,,,0.4533,0.378,3999700.3695,6145244.9958726,5,17,57.5,0
2026-08-19T01:54:41+00:00,2sLVno3U42bPYSsRwGWKUyt1JqzqReVRaUQaZ9ZjsdBh,HOOD / SOL,A,0.0003008911101013781,13474778.7682471,2316914.1625790303,5.8,,,4.3985,35.926,483203.2968,30250518.88,2980,66,0.4,0
2026-08-19T01:54:41+00:00,3vzCDcWV1gWExDYtd2YGtoAD1wvMNv9ceiGzFs7ZrnpM,BULLSHIT / SOL,A,0.0015983661657352252,181086.635097708,29931.477013074797,6.1,,,0.8628,-33.051,178181.2901,1575916.14037432,220,460,1.3,0
2026-08-19T01:54:41+00:00,9R27f7ibnqi9jfk5LdWHRhX7faJBPPZyr5Va35RYWwoo,LAYOOO / SOL,A,0.0013593996063182405,50911.2445803737,7333.34070622648,6.9,148,,1.1894,-3.907,132825.6388,1359399.606,200,182,9.1,0
2026-08-19T01:54:41+00:00,CD5HDt23sjGud5VTWsv51BMPey2Qf9qH5cyswWmjBDdq,BULLSHIT / SOL,A,0.0016017563872648016,788975.892800425,293182.13371419936,2.7,,,3.1657,-31.293,125092.8433,1566742.17479754,1582,1653,1.3,0
2026-08-19T02:37:49+00:00,9R27f7ibnqi9jfk5LdWHRhX7faJBPPZyr5Va35RYWwoo,LAYOOO / SOL,A,0.0015624960341054565,187297.374301837,7333.34070622648,25.5,150.0,,1.07,11.214,142401.5917,1541158.823,264,352,9.2,0
2026-08-19T02:37:49+00:00,13MEx6gjRadJNUdmToaGSzgeWHLH7FzScUQS9Mc5nYF5,MU / USDC,A,932.2695059083532,74964.116089164,19437.320365413918,3.9,,,0.4463,-0.61,3975931.3571,6109063.8075805,3,17,57.5,0
